freq,ampl_A,ampl_B,ampl_C
2485,0.014131766,0.015389745,0.027821563
2486,0.021440351,0.014533335,0.029453376
2487,0.016441992,0.0121442,0.033322953
2488,0.034898285,0.01971543,0.049610253
2489,0.015234187,0.028390922,0.019486127
2490,0.010729944,0.02287508,0.018062366
2491,0.0098851025,0.019204888,0.02290035
2492,0.009691739,0.021909518,0.023709925
2493,0.015365013,0.013142268,0.02246439
2494,0.008940549,0.023286292,0.023925561
2495,0.013112393,0.01717896,0.022968033
2496,0.01429427,0.0167941,0.021344498
2497,0.025946524,0.027704254,0.019585213
2498,0.0061148275,0.014077459,0.01722117
2499,0.009438288,0.01605429,0.016546277
2500,0.008434409,0.01565958,0.023141934
2501,0.0034667058,0.024782121,0.019973122
2502,0.019811839,0.027497327,0.029358963
2503,0.04192598,0.02405666,0.0172505
2504,0.029925149,0.021361616,0.03565032
2505,0.017748678,0.030417982,0.03341484
2506,0.000706147,0.01489606,0.021945355
2507,0.012751614,0.011705879,0.022341704
2508,0.019540383,0.023562249,0.020282945
2509,0.004484474,0.015457641,0.015316199
2510,0.018808404,0.019491911,0.023173627
2511,0.011157249,0.023316946,0.031413365
2512,0.014025106,0.025988955,0.02458746
2513,0.007214214,0.01818534,0.027682964
2514,0.008433129,0.00991851,0.020534294
2515,0.0068006297,0.011255839,0.02626711
2516,0.0128534855,0.020103088,0.023555746
2517,0.0046689548,0.016980741,0.022879146
2518,0.0029304407,0.009926221,0.030242998
2519,0.01079777,0.020054955,0.017368672
2520,0.008943669,0.017503256,0.026889648
2521,0.0044210674,0.017050693,0.023511825
2522,0.0068686535,0.019125475,0.024980774
2523,0.007099927,0.01308054,0.02716438
2524,0.012476981,0.019593555,0.022062171
2525,0.017122319,0.023434736,0.017294971
2526,0.008562309,0.018025372,0.022300683
2527,0.0050127218,0.018050062,0.022805162
2528,0.009368567,0.01892227,0.025670446
2529,0.01940398,0.018967839,0.020939803
2530,0.009947048,0.0184681,0.028616324
2531,0.012666406,0.01884086,0.016700568
2532,0.010002985,0.025436994,0.027237862
2533,0.0034347845,0.017167553,0.031655077
2534,0.02189594,0.032205936,0.020654596
2535,0.019064836,0.033386465,0.03254641
2536,0.020167224,0.014381987,0.011351148
